iter	Passed	Remaining
402	11570	2784
403	11599	2756
404	11630	2728
405	11660	2699
406	11689	2671
407	11721	2643
408	11752	2614
409	11780	2586
410	11808	2557
411	11839	2528
412	11867	2500
413	11899	2471
414	11921	2441
415	11948	2412
416	11980	2384
417	12007	2355
418	12038	2327
419	12065	2298
420	12094	2269
421	12123	2240
422	12151	2211
423	12183	2183
424	12214	2155
425	12244	2126
426	12269	2097
427	12301	2069
428	12331	2040
429	12360	2012
430	12389	1983
431	12417	1954
432	12448	1926
433	12478	1897
434	12507	1868
435	12530	1839
436	12552	1809
437	12585	1781
438	12614	1752
439	12642	1723
440	12667	1694
441	12698	1666
442	12728	1637
443	12758	1609
444	12782	1579
445	12810	1551
446	12839	1522
447	12870	1493
448	12900	1465
449	12932	1436
450	12955	1407
451	12978	1378
452	13009	1349
453	13042	1321
454	13069	1292
455	13099	1263
456	13129	1235
457	13157	1206
458	13187	1177
459	13216	1149
460	13242	1120
461	13271	1091
462	13294	1062
463	13323	1033
464	13354	1005
465	13383	976
466	13411	947
467	13440	919
468	13467	890
469	13499	861
470	13525	832
471	13556	804
472	13585	775
473	13614	746
474	13643	718
475	13671	689
476	13696	660
477	13726	631
478	13756	603
479	13788	574
480	13815	545
481	13845	517
482	13874	488
483	13903	459
484	13932	430
485	13957	402
486	13985	373
487	14014	344
488	14045	315
489	14075	287
490	14097	258
491	14126	229
492	14155	200
493	14180	172
494	14209	143
495	14239	114
496	14270	86
497	14298	57
498	14320	28
499	14348	0
