iter	RMSE
0	0.1199753893
1	0.1142904946
2	0.1089251737
3	0.1038095391
4	0.09895246413
5	0.09439218761
6	0.09004289963
7	0.08589786035
8	0.08195339018
9	0.07823058272
10	0.07465486511
11	0.07131068139
12	0.06813786132
13	0.06512927718
14	0.06225145128
15	0.05953584203
16	0.05697987044
17	0.05456955122
18	0.05229210605
19	0.05012537978
20	0.04806474847
21	0.04612715445
22	0.0443093984
23	0.04256327427
24	0.04089002091
25	0.03935187137
26	0.03784156758
27	0.03645562299
28	0.03517204398
29	0.03389776612
30	0.03272584055
31	0.03159645415
32	0.03054679343
33	0.02957702963
34	0.0286712644
35	0.02773723269
36	0.02689341162
37	0.02613571232
38	0.0253543799
39	0.02464397343
40	0.02393223658
41	0.02330789992
42	0.02273138051
43	0.02220003574
44	0.02169655498
45	0.02121425125
46	0.02076415561
47	0.02034837885
48	0.0199421888
49	0.01958319308
50	0.01912485025
51	0.01878493005
52	0.01843104963
53	0.01802793708
54	0.01773873416
55	0.01746167788
56	0.0172093745
57	0.01698666514
58	0.01665260909
59	0.01642910224
60	0.01612798111
61	0.01593114102
62	0.01572617168
63	0.01544898489
64	0.01519965309
65	0.01501417559
66	0.01475158992
67	0.0146046274
68	0.01436547299
69	0.01421702135
70	0.01403253925
71	0.01382734721
72	0.01368115855
73	0.01357716708
74	0.01344902127
75	0.01333796302
76	0.01313934004
77	0.01295422331
78	0.01283879418
79	0.01275639428
80	0.01266448779
81	0.0124948964
82	0.01240111413
83	0.01229912298
84	0.01223182009
85	0.01211312331
86	0.01201715135
87	0.0118613293
88	0.01179832762
89	0.01166419185
90	0.01158354165
91	0.01144747853
92	0.011372222
93	0.01129656526
94	0.0112266316
95	0.01113256977
96	0.01106228881
97	0.01100105533
98	0.01089987068
99	0.01084065425
100	0.01078621956
101	0.01068071372
102	0.01062581092
103	0.01055624689
104	0.01050462281
105	0.01045287697
106	0.01036130537
107	0.01026719608
108	0.01022287107
109	0.01013767082
110	0.01003823654
111	0.01000222313
112	0.00992497525
113	0.00986119768
114	0.009789993238
115	0.009761200343
116	0.00969463955
117	0.009608957428
118	0.009567937478
119	0.009521078238
120	0.009473527918
121	0.009397059183
122	0.009337320189
123	0.009305934673
124	0.009250653021
125	0.00918917736
126	0.00914503938
127	0.009104200205
128	0.009070897235
129	0.009021529145
130	0.008992804809
131	0.008977267476
132	0.00892667779
133	0.008861189036
134	0.00882501215
135	0.008791808097
136	0.008772356488
137	0.008741765293
138	0.008713248102
139	0.008661612654
140	0.008619479167
141	0.008590302306
142	0.008562495369
143	0.008504492781
144	0.008483440894
145	0.008444091048
146	0.008418409736
147	0.008382206167
148	0.008347347427
149	0.008317986047
150	0.008293876043
151	0.008270841754
152	0.008217835061
153	0.008184257126
154	0.00814653706
155	0.008124647384
156	0.008090583558
157	0.008043988342
158	0.008031748542
159	0.007988341311
160	0.007969853977
161	0.007943593326
162	0.007917959665
163	0.00787429742
164	0.007838261615
165	0.007802918674
166	0.007775990641
167	0.00775623077
168	0.007724898005
169	0.007690945258
170	0.007662247273
